Country,Confirmed,Deaths,Recovered,Population (millions),ISO,Cases per Million,Deaths per Million
Afghanistan,39145.0,1446.0,32610.0,39.07,AFG,1001.92,37.01
Albania,12787.0,370.0,7139.0,2.88,ALB,4439.93,128.47
Algeria,50400.0,1698.0,35428.0,43.98,DZA,1145.98,38.61
Andorra,1753.0,53.0,1203.0,0.08,AND,21912.5,662.5
Angola,4363.0,159.0,1473.0,33.03,AGO,132.09,4.81
Antigua and Barbuda,97.0,3.0,92.0,0.1,ATG,970.0,30.0
Argentina,664799.0,14376.0,525486.0,45.27,ARG,14685.2,317.56
Armenia,47877.0,942.0,43026.0,2.96,ARM,16174.66,318.24
Aruba,4.0,0.0,0.0,0.11,ABW,36.36,0.0
Australia,26984.0,861.0,24446.0,25.55,AUS,1056.13,33.7
Austria,39986.0,777.0,30949.0,9.02,AUT,4433.04,86.14
Azerbaijan,39524.0,580.0,37122.0,10.15,AZE,3893.99,57.14
Bahamas,3618.0,80.0,1915.0,0.39,BHS,9276.92,205.13
Bahrain,67014.0,231.0,60117.0,1.71,BHR,39189.47,135.09
Bangladesh,353844.0,5044.0,262953.0,164.97,BGD,2144.9,30.58
Barbados,189.0,7.0,174.0,0.29,BRB,651.72,24.14
Belarus,76357.0,796.0,73564.0,9.45,BLR,8080.11,84.23
Belgium,106887.0,9959.0,19079.0,11.6,BEL,9214.4,858.53
Belize,1706.0,22.0,1019.0,0.4,BLZ,4265.0,55.0
Benin,2325.0,40.0,1954.0,12.18,BEN,190.89,3.28
Bhutan,261.0,0.0,196.0,0.77,BTN,338.96,0.0
Bolivia,131990.0,7731.0,91556.0,11.7,BOL,11281.2,660.77
Bosnia and Herzegovina,26081.0,790.0,18634.0,3.28,BIH,7951.52,240.85
Botswana,2567.0,13.0,624.0,2.36,BWA,1087.71,5.51
Brazil,4863249.0,156088.0,4437573.0,212.82,BRA,22851.47,733.43
Brunei,145.0,3.0,142.0,0.44,BRN,329.55,6.82
Bulgaria,19283.0,779.0,13867.0,6.94,BGR,2778.53,112.25
Burkina Faso,1929.0,56.0,1252.0,21.0,BFA,91.86,2.67
Burundi,476.0,1.0,462.0,11.95,BDI,39.83,0.08
Cambodia,275.0,0.0,274.0,16.76,KHM,16.41,0.0
Cameroon,20690.0,416.0,19124.0,26.66,CMR,776.07,15.6
Canada,149976.0,9294.0,165031.0,37.8,CAN,3967.62,245.87
Cayman Islands,1.0,0.0,0.0,0.07,CYM,14.29,0.0
Central African Republic,4802.0,62.0,1830.0,4.84,CAF,992.15,12.81
Chad,1164.0,82.0,997.0,16.5,TCD,70.55,4.97
Chile,499482.0,12854.0,446672.0,19.14,CHL,26096.24,671.58
China,85314.0,4634.0,80509.0,1440.3,CHN,59.23,3.22
Colombia,808372.0,25549.0,668388.0,50.98,COL,15856.65,501.16
Comoros,470.0,7.0,453.0,0.87,COM,540.23,8.05
Costa Rica,68059.0,781.0,26136.0,5.1,CRI,13344.9,153.14
Croatia,15340.0,257.0,13815.0,4.1,HRV,3741.46,62.68
Cuba,5270.0,118.0,4582.0,11.33,CUB,465.14,10.41
Cyprus,1654.0,22.0,1369.0,1.21,CYP,1366.94,18.18
DR Congo,10537.0,271.0,10041.0,90.0,COD,117.08,3.01
Denmark,24822.0,643.0,18789.0,5.8,DNK,4279.66,110.86
Djibouti,5407.0,61.0,5338.0,0.99,DJI,5461.62,61.62
Dominica,24.0,0.0,18.0,0.07,DMA,342.86,0.0
Dominican Republic,109737.0,2074.0,83434.0,10.87,DOM,10095.4,190.8
Ecuador,129892.0,11171.0,102852.0,17.69,ECU,7342.68,631.49
Egypt,102375.0,5822.0,91843.0,102.66,EGY,997.22,56.71
El Salvador,27954.0,819.0,22113.0,6.49,SLV,4307.24,126.19
Equatorial Guinea,5018.0,83.0,4509.0,1.41,GNQ,3558.87,58.87
Eritrea,364.0,0.0,309.0,3.55,ERI,102.54,0.0
Estonia,3033.0,64.0,2387.0,1.33,EST,2280.45,48.12
Ethiopia,71083.0,1141.0,29253.0,115.43,ETH,615.81,9.88
Fiji,32.0,2.0,28.0,0.9,FJI,35.56,2.22
Finland,9288.0,343.0,7850.0,5.54,FIN,1676.53,61.91
France,508461.0,31447.0,96498.0,65.3,FRA,7786.54,481.58
French Guiana,18.0,0.0,6.0,0.3,GUF,60.0,0.0
Gabon,8716.0,54.0,7906.0,2.23,GAB,3908.52,24.22
Gambia,3542.0,110.0,2011.0,2.43,GMB,1457.61,45.27
Georgia,4140.0,25.0,1643.0,3.99,GEO,1037.59,6.27
Germany,453128.0,17284.0,394406.0,83.83,DEU,5405.32,206.18
Ghana,46153.0,299.0,45299.0,31.18,GHA,1480.21,9.59
Gibraltar,1.0,0.0,1.0,0.03,GIB,33.33,0.0
Greece,16286.0,357.0,1347.0,10.41,GRC,1564.46,34.29
Greenland,0.0,0.0,0.0,0.06,GRL,0.0,0.0
Grenada,24.0,0.0,24.0,0.11,GRD,218.18,0.0
Guadeloupe,53.0,0.0,0.0,0.4,GLP,132.5,0.0
Guam,0.0,0.0,0.0,0.17,GUM,0.0,0.0
Guatemala,87442.0,3154.0,76459.0,17.97,GTM,4866.0,175.51
Guinea,10434.0,65.0,9801.0,13.19,GIN,791.05,4.93
Guinea-Bissau,2324.0,39.0,1549.0,1.98,GNB,1173.74,19.7
Guyana,2535.0,69.0,1464.0,0.79,GUY,3208.86,87.34
Haiti,8646.0,225.0,6551.0,11.43,HTI,756.43,19.69
Honduras,72675.0,2222.0,24022.0,9.93,HND,7318.73,223.77
Hong Kong,5049.0,104.0,4749.0,7.51,HKG,672.3,13.85
Hungary,20450.0,702.0,4644.0,9.66,HUN,2116.98,72.67
Iceland,2476.0,10.0,2142.0,0.34,ISL,7282.35,29.41
India,5922178.0,97770.0,4722285.0,1382.35,IND,4284.14,70.73
Indonesia,257388.0,9977.0,187958.0,274.02,IDN,939.3,36.41
Iran,432798.0,24840.0,365846.0,84.18,IRN,5141.34,295.08
Iraq,332635.0,8754.0,264988.0,40.37,IRQ,8239.66,216.84
Ireland,33696.0,1794.0,23364.0,4.95,IRL,6807.27,362.42
Israel,204691.0,1325.0,144963.0,8.68,ISR,23581.91,152.65
Italy,524641.0,66864.0,333206.0,60.45,ITA,8678.92,1106.1
Jamaica,5395.0,76.0,1444.0,2.96,JAM,1822.64,25.68
Japan,96660.0,2383.0,85520.0,126.41,JPN,764.65,18.85
Jordan,6042.0,35.0,3812.0,10.22,JOR,591.19,3.42
Kazakhstan,107529.0,1699.0,102323.0,18.82,KAZ,5713.55,90.28
Kenya,37348.0,664.0,24253.0,53.97,KEN,692.01,12.3
Kuwait,101299.0,590.0,92341.0,4.28,KWT,23667.99,137.85
Kyrgyzstan,45630.0,1063.0,41904.0,6.54,KGZ,6977.06,162.54
Laos,23.0,0.0,22.0,7.29,LAO,3.16,0.0
Latvia,1572.0,36.0,1248.0,1.88,LVA,836.17,19.15
Lebanon,31793.0,328.0,13527.0,6.82,LBN,4661.73,48.09
Lesotho,1507.0,35.0,766.0,2.15,LSO,700.93,16.28
Liberia,1337.0,82.0,1219.0,5.08,LBR,263.19,16.14
Libya,30097.0,469.0,16430.0,6.89,LBY,4368.21,68.07
Liechtenstein,116.0,1.0,110.0,0.04,LIE,2900.0,25.0
Lithuania,3932.0,87.0,2246.0,2.72,LTU,1445.59,31.99
Luxembourg,8090.0,124.0,6862.0,0.63,LUX,12841.27,196.83
Madagascar,16167.0,226.0,14788.0,27.81,MDG,581.34,8.13
Malawi,5746.0,179.0,4140.0,19.21,MWI,299.12,9.32
Malaysia,10505.0,133.0,9602.0,32.44,MYS,323.83,4.1
Maldives,9885.0,34.0,8530.0,0.54,MDV,18305.56,62.96
Mali,3034.0,130.0,2382.0,20.35,MLI,149.09,6.39
Malta,2856.0,25.0,2173.0,0.44,MLT,6490.91,56.82
Martinique,32.0,1.0,0.0,0.38,MTQ,84.21,2.63
